LChest_X,LChest_Y,LChest_Z,LElb_X,LElb_Y,LElb_Z,LLArm_X,LLArm_Y,LLArm_Z,LSho_X,LSho_Y,LSho_Z,LThumb_X,LThumb_Y,LThumb_Z,LUArm_X,LUArm_Y,LUArm_Z,LWrist_X,LWrist_Y,LWrist_Z,Lpinkie_X,Lpinkie_Y,Lpinkie_Z,MChest_X,MChest_Y,MChest_Z,RChest_X,RChest_Y,RChest_Z,RElb_X,RElb_Y,RElb_Z,RLArm_X,RLArm_Y,RLArm_Z,RPinkie_X,RPinkie_Y,RPinkie_Z,RSho_X,RSho_Y,RSho_Z,RThumb_X,RThumb_Y,Rthumb_Z,RUArm_X,RUArm_Y,RUArm_Z,RWrist_X,RWrist_Y,RWrist_Z,basketM1_X,basketM1_Y,basketM1_Z,basketM2_X,basketM2_Y,basketM2_Z,basketM3_X,basketM3_Y,basketM3_Z,rackM1_X ,rackM1_Y ,rackM1_Z ,rackM2_X ,rackM2_Y ,rackM2_Z ,rackM3_X ,rackM3_Y ,rackM3_Z ,rackM4_X ,rackM4_Y ,rackM4_Z,rackM5_X ,rackM5_Y ,rackM5_Z ,rackM6_X ,rackM6_Y ,rackM6_Z ,rampM1_X,rampM1_Y,rampM1_Z,rampM2_X,rampM2_Y,rampM2_Z,rampM3_X,rampM3_Y,rampM3_Z
101.3,70.56,48.86,112.3,32.06,43.52,112.7,36.85,53.68,118,62.76,56.53,109,45.36,75.73,113.9,47.21,53.32,110,40.04,70.55,107.5,40.13,77.54,97.63,78.27,38.86,100.5,88.04,48.16,110.4,125,40.75,111,124.6,56.01,106.5,118,75.11,115.7,97.05,56.78,108.4,113.6,74.4,116.1,111.9,48.76,108.5,119,69.29,26.44,152,2.07,-1.265,125.3,2.67,116.1,111.9,48.75,-5.322,94.81,2.725,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.91,9.993,68.55,34.29,10.01
101.3,70.56,48.86,112.2,32.19,43.36,112.7,36.85,53.68,118,62.76,56.53,109,45.36,75.72,114,47.21,53.32,110,40.04,70.55,107.6,40.13,77.54,97.64,78.26,38.86,100.5,88.04,48.15,110.4,125,40.73,111,124.6,56.04,106.5,118,75.1,115.7,97.05,56.77,108.4,113.7,74.39,116.1,111.9,48.74,108.5,119,69.27,26.42,151.9,2.044,-1.265,125.3,2.67,116.1,111.9,48.75,-5.324,94.81,2.725,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.86,10.04,68.53,34.29,10.01
101.2,70.52,48.91,112.2,32.19,43.36,112.7,36.85,53.68,118.1,62.75,56.53,109,45.36,75.72,114,47.21,53.31,110,40.05,70.54,107.6,40.13,77.53,97.64,78.27,38.86,100.5,88.04,48.15,110.4,125,40.71,111,124.6,56.02,106.4,118,75.08,115.7,97.05,56.77,108.4,113.7,74.38,116.1,111.9,48.73,108.5,119,69.26,26.23,152.1,2.255,-1.265,125.3,2.67,116.7,95.52,51.33,-5.323,94.81,2.724,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.14,-55.26,46.92,122.9,33.8,10.12,68.55,34.29,10.01
101.3,70.55,48.86,112.3,32.12,43.46,112.7,36.85,53.68,118,62.77,56.5,109,45.36,75.71,114,47.2,53.3,110,40.04,70.53,107.6,40.13,77.52,97.64,78.26,38.86,100.5,88.03,48.15,110.5,125,40.7,111,124.6,56,106.4,118,75.06,115.7,97.05,56.77,108.4,113.7,74.37,116.1,111.9,48.71,108.5,119,69.25,26.34,152,2.152,-1.265,125.3,2.67,117.4,79.14,53.92,-5.323,94.81,2.724,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.91,9.999,68.51,34.28,10.02
101.2,70.51,48.9,112.3,32.12,43.46,112.7,36.85,53.68,118,62.78,56.5,109,45.36,75.7,114,47.2,53.3,110,40.04,70.52,107.6,40.13,77.52,97.65,78.26,38.85,100.5,88.03,48.15,110.5,125,40.68,111,124.6,55.95,106.4,118,75.04,115.7,97.05,56.76,108.4,113.7,74.35,116.1,111.9,48.7,108.5,119,69.22,26.32,152.1,2.202,-1.265,125.3,2.67,118,62.77,56.5,-5.325,94.81,2.725,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.82,10.13,68.54,34.32,9.974
101.2,70.51,48.89,112.2,32.17,43.33,112.7,36.85,53.68,118,62.78,56.5,109,45.36,75.7,114,47.2,53.3,110,40.03,70.52,107.6,40.13,77.51,97.65,78.26,38.85,100.5,88.03,48.15,110.5,125,40.66,111,124.6,55.93,106.4,118,75.03,115.7,97.05,56.76,108.4,113.7,74.34,116.1,111.9,48.69,108.5,119,69.21,26.39,151.9,2.076,-1.265,125.3,2.67,118,62.77,56.5,-5.325,94.81,2.724,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.87,10.07,68.54,34.28,10.02
101.3,70.55,48.85,112.2,32.17,43.33,112.7,36.85,53.68,118,62.76,56.5,109,45.36,75.69,114,47.19,53.29,110,40.04,70.51,107.6,40.13,77.5,97.65,78.25,38.85,100.5,88.03,48.14,110.5,125,40.64,111,124.6,55.92,106.4,118,75.02,115.7,97.05,56.76,108.4,113.7,74.33,116.1,111.9,48.68,108.5,119,69.19,26.43,152,2.079,-1.265,125.3,2.67,118,62.77,56.5,-5.326,94.81,2.725,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.14,-55.25,46.92,122.9,33.82,10.14,68.55,34.28,10.01
101.2,70.51,48.89,112.2,32.09,43.36,112.7,36.85,53.68,118.1,62.74,56.52,109,45.36,75.69,114,47.19,53.29,110,40.04,70.51,107.6,40.13,77.5,97.65,78.25,38.85,100.5,88.02,48.14,110.5,125,40.63,111,124.6,55.9,106.4,118,75,115.7,97.05,56.75,108.4,113.7,74.32,116.1,111.9,48.67,108.5,119,69.18,26.3,152,2.178,-1.265,125.3,2.67,118,62.75,56.5,-5.323,94.81,2.724,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.14,-55.25,46.92,122.9,33.82,10.13,68.55,34.29,10.01
101.2,70.51,48.88,112.2,32.09,43.36,112.7,36.85,53.68,118.1,62.74,56.52,109,45.35,75.68,114,47.19,53.29,110,40.03,70.5,107.6,40.12,77.5,97.66,78.24,38.85,100.5,88.02,48.14,110.5,125,40.61,111,124.6,55.89,106.4,118.1,74.99,115.7,97.05,56.74,108.4,113.7,74.31,116.1,111.9,48.66,108.5,119,69.16,26.28,152.1,2.197,-1.265,125.3,2.67,118,62.75,56.5,-5.324,94.81,2.725,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,123,33.7,10.27,68.53,34.29,10.01
101.3,70.54,48.84,112.2,32.09,43.36,112.7,36.85,53.68,118.1,62.74,56.51,109,45.35,75.68,114,47.19,53.28,110,40.03,70.5,107.6,40.12,77.49,97.66,78.24,38.84,100.5,88.02,48.14,110.5,124.9,40.6,111,124.6,55.87,106.4,118.1,74.98,115.7,97.04,56.74,108.4,113.7,74.3,116.1,111.9,48.65,108.5,119,69.15,26.2,152.1,2.263,-1.265,125.3,2.67,118.1,62.75,56.49,-5.324,94.81,2.724,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.14,-55.26,46.92,122.9,33.82,10.14,68.55,34.29,10.01
101.3,70.54,48.83,112.3,32.16,43.32,112.7,36.85,53.68,118.1,62.74,56.5,109,45.35,75.67,114,47.18,53.28,110,40.03,70.5,107.6,40.12,77.49,97.67,78.24,38.84,100.5,88.01,48.14,110.5,124.9,40.58,111,124.6,55.86,106.4,118.1,74.97,115.7,97.05,56.74,108.4,113.7,74.28,116.1,111.9,48.64,108.5,119,69.14,26.3,152.1,2.209,-1.265,125.3,2.67,118.1,62.73,56.51,-5.324,94.81,2.725,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.26,46.92,122.9,33.82,10.14,68.48,34.27,10.04
101.3,70.51,48.88,112.3,32.16,43.32,112.7,36.85,53.68,118.1,62.74,56.49,109,45.34,75.67,114,47.18,53.28,110.1,40.01,70.51,107.6,40.11,77.48,97.68,78.24,38.84,100.5,88.01,48.13,110.5,124.9,40.57,111,124.6,55.85,106.4,118.1,74.96,115.7,97.05,56.73,108.3,113.7,74.28,116.1,111.8,48.63,108.4,119,69.12,26.2,152.1,2.26,-1.265,125.3,2.67,118.1,62.73,56.51,-5.325,94.81,2.725,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.91,10,68.48,34.27,10.04
101.3,70.54,48.83,112.3,32.16,43.32,112.7,36.85,53.68,118.1,62.74,56.49,109,45.34,75.67,114,47.18,53.28,110,40.02,70.5,107.6,40.11,77.48,97.68,78.24,38.83,100.5,88.02,48.12,110.5,124.9,40.56,111,124.6,55.84,106.4,118.1,74.95,115.7,97.05,56.73,108.3,113.7,74.27,116.1,111.8,48.62,108.4,119,69.12,26.41,151.9,2.047,-1.265,125.3,2.67,118.1,62.73,56.51,-5.323,94.81,2.723,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.91,10,68.55,34.32,9.975
101.3,70.52,48.88,112.3,32.12,43.36,112.7,36.85,53.68,118.1,62.75,56.49,109,45.33,75.67,114,47.18,53.28,110.1,39.98,70.52,107.6,40.1,77.48,97.69,78.24,38.83,100.5,88.01,48.11,110.5,124.9,40.56,111,124.6,55.83,106.4,118.1,74.95,115.7,97.05,56.73,108.3,113.8,74.26,116.1,111.8,48.62,108.4,119,69.11,26.44,152,2.069,-1.265,125.3,2.67,118.1,62.73,56.51,-5.314,94.79,2.739,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.91,9.998,68.54,34.32,9.977
101.3,70.54,48.83,112.3,32.09,43.41,112.7,36.85,53.68,118.1,62.75,56.49,109,45.33,75.68,114,47.18,53.28,110.1,39.98,70.52,107.6,40.1,77.48,97.69,78.24,38.83,100.6,88.01,48.1,110.5,124.9,40.55,111,124.6,55.82,106.4,118.1,74.94,115.7,97.04,56.73,108.3,113.8,74.26,116.1,111.8,48.62,108.4,119,69.09,26.4,152,2.122,-1.265,125.3,2.67,118.1,62.73,56.51,-5.323,94.81,2.726,-11.95,87.71,2.806,-11.99,76.98,2.852,-11.7,66.26,3.013,-11.52,55,3.084,-6.064,50,3.143,67.13,-55.25,46.92,122.9,33.91,9.998,68.55,34.29,10.01
